crypto_id,date,price,market_cap,volume
bitcoin,2025-09-16,115397.25272727509,2297977599504.5527,46947581231.08198
bitcoin,2025-09-17,116762.8496864193,2325326932460.9644,39964451595.099724
bitcoin,2025-09-18,116455.94648225319,2321583680138.891,54740952295.37868
bitcoin,2025-09-19,117145.49508952006,2333705338232.097,43642467075.25838
bitcoin,2025-09-20,115655.81046441344,2303469041668.8,34296721252.33001
bitcoin,2025-09-21,115715.51536781774,2305371926506.302,18774953731.290394
bitcoin,2025-09-22,115304.47999407038,2297332085237.645,18659113982.495464
bitcoin,2025-09-23,112696.74101711863,2245929069310.8535,69152342029.46799
bitcoin,2025-09-24,112022.16587861195,2232693472656.6514,46154878824.043465
bitcoin,2025-09-25,113320.56908541008,2257741194218.8286,46677543220.334526
bitcoin,2025-09-26,108963.53013595635,2171950311711.4429,74481796351.47305
bitcoin,2025-09-27,109710.20874667744,2185866776171.5464,55257214020.568245
bitcoin,2025-09-28,109654.81021075726,2185203231301.0562,23294896964.31016
bitcoin,2025-09-29,112142.57362752674,2235798877396.134,31274654338.51212
bitcoin,2025-09-30,114309.15041119447,2278362523594.3135,57833295882.65785
bitcoin,2025-10-01,114024.22783550054,2272137555069.4507,57718901820.70616
bitcoin,2025-10-02,118503.24451752483,2359569556068.08,69920179085.4708
bitcoin,2025-10-03,120611.71911591051,2399524207991.5527,71252850672.75252
bitcoin,2025-10-04,122250.15186842803,2436956902844.7153,83155430408.51796
bitcoin,2025-10-05,122380.93708463266,2438832157552.7866,35161626561.80918
bitcoin,2025-10-06,123506.18520027678,2461221856764.1885,72011486031.26575
bitcoin,2025-10-07,124773.50823074432,2486073086655.2866,69605991064.72382
bitcoin,2025-10-08,121518.75593575071,2421938444026.2783,76087884719.80028
bitcoin,2025-10-09,123352.50487523204,2459003621170.118,62576032795.36722
bitcoin,2025-10-10,121698.03066778315,2423288659157.484,72097306668.91356
bitcoin,2025-10-11,113201.74064138904,2265659827789.9917,151002213089.8765
bitcoin,2025-10-12,110853.11663883903,2211404015103.109,108643865752.17674
bitcoin,2025-10-13,115189.5714637257,2294724465036.9785,93857100744.12454
bitcoin,2025-10-14,115222.28302116522,2296863527017.9863,68935270367.04033
bitcoin,2025-10-15,113156.56943826913,2257545230986.0146,91211854988.91518
bitcoin,2025-10-16,110708.66960879423,2207742082237.0483,68877328886.40259
bitcoin,2025-10-17,108076.72862033188,2154964541836.455,84773160808.27399
bitcoin,2025-10-18,106443.61194984635,2123017949517.1426,94325236794.78163
bitcoin,2025-10-19,107156.00337647724,2135575517405.9185,34412835719.61292
bitcoin,2025-10-20,108621.134857428,2165367850075.0042,45373692612.394394
bitcoin,2025-10-21,110608.5714932665,2205571381112.93,60452111148.140076
bitcoin,2025-10-22,108486.10262716639,2162410619417.9114,105841401713.00197
bitcoin,2025-10-23,107618.4266715404,2145773248654.6448,83996418125.93103
bitcoin,2025-10-24,110048.51827291629,2193901841033.9053,56192643013.57058
bitcoin,2025-10-25,110997.80437129698,2213306367536.756,49120903424.344864
bitcoin,2025-10-26,111620.3093731354,2224861052775.0015,23214874411.212166
bitcoin,2025-10-27,114476.01227508577,2283691326423.212,42483268634.18711
bitcoin,2025-10-28,114182.79442806762,2276235094681.6714,63764801510.65889
bitcoin,2025-10-29,112950.34863259472,2254003248725.4917,66299512352.17796
bitcoin,2025-10-30,110046.66925837283,2194746293754.542,64235327509.05742
bitcoin,2025-10-31,108240.76528725718,2157803742876.0747,72648897659.94229
bitcoin,2025-11-01,109573.90555629115,2185193896779.3408,58800487940.5146
bitcoin,2025-11-02,110014.13556776087,2194075979770.0623,24938475577.849922
bitcoin,2025-11-03,110650.2092823146,2201849942058.28,35098774843.7742
bitcoin,2025-11-04,106521.08673825761,2123664079961.7026,75068433317.86293
bitcoin,2025-11-05,101635.2740227234,2026091188341.184,108965721650.60309
bitcoin,2025-11-06,103877.95965955159,2073000557933.8025,77083907216.62631
bitcoin,2025-11-07,101322.6402945857,2019147576692.263,64118217249.57436
bitcoin,2025-11-08,103396.084215925,2063021740892.1375,93627003785.31018
bitcoin,2025-11-09,102290.13714655167,2039995976869.1492,51095924202.31797
bitcoin,2025-11-10,104709.67861656273,2086419359800.0503,59952468437.71812
bitcoin,2025-11-11,105909.07272321742,2112747067951.9028,67546556819.52642
bitcoin,2025-11-12,102960.77564500563,2053215927640.825,71008299178.73956
bitcoin,2025-11-13,101521.70859453593,2025837265459.7573,63332414142.58827
bitcoin,2025-11-14,99730.4533956204,1996168972711.9963,100463341916.4732
bitcoin,2025-11-14,96004.67957837768,1920045161270.6616,125804481362.43788
ethereum,2025-08-17,4426.826913311333,534150282399.6513,21104759591.061535
ethereum,2025-08-18,4487.118013759226,541923097741.9142,28100356151.382523
ethereum,2025-08-19,4317.2757573282315,520793172158.0575,43935703176.22011
ethereum,2025-08-20,4074.495786100515,491872355111.46844,41626342123.38552
ethereum,2025-08-21,4330.491598768078,523004794309.38104,39857177022.84433
ethereum,2025-08-22,4224.438592580698,509951239220.54224,21703206731.83165
ethereum,2025-08-23,4829.225541798332,582817007170.4178,61856673933.04883
ethereum,2025-08-24,4773.884088598777,576242312916.0488,27814037595.094646
ethereum,2025-08-25,4778.10916071381,577227233251.8729,41157770217.98017
ethereum,2025-08-26,4381.626176071471,529509245849.7141,48217069690.885376
